FLAGGED AS BIG CHANGE: 190 sections changed; 1484 existing slots overwritten

Sections modified (190): AI-01, BD-01, BDS-01, BDS-02, CD-01, CD-02, CD-03, CD-04, CD-05, CD-06, CD-07, CD-08, CD-09, CD-10, CD-11, CD-12, CD-13, CD-14, CI-01, CI-02, CI-03, CI-04, CI-05, CI-06, CI-07, CI-08, CI-09, CI-10, CSCE-01, CSE-01, CSE-02, CSE-03, CSE-04, CSE-05, CSE-06, CSE-07, CSE-08, CSE-09, CSE-10, CSE-11, CSE-12, CSE-13, CSE-14, CSE-15, CSE-16, CSE-17, CSE-18, CSE-19, CSE-20, CSE-21, CSE-22, CSE-23, CSE-24, CSE-25, CSE-26, CSE-27, CSE-28, CSE-29, CSE-30, CSE-31, CSE-32, CSE-33, CSE-34, CSE-35, CSE-36, CSE-37, CSE-38, CSE-39, CSE-40, CSE-41, CSE-42, CSE-43, CSE-44, CSE-45, CSE-46, CSE-47, CSE-48, CSE-49, CSE-50, CSE-51, CSE-52, CSE-53, CSE-54, CSE-55, CSE-56, CSE-57, CSE-58, CSE-59, CSE-60, CSE-61, CSSE-01, DMDW-01, DMDW-02, DMDW-03, DMDW-04, DMDW-05, DMDW-06, DMDW-07, DMDW-08, DMDW-09, DMDW-10, DMDW-11, DMDW-12, DMDW-13, DMDW-14, DMDW-15, DMDW-16, DMDW-17, DMDW-18, DMDW-19, DMDW-20, DOS-01, DOS-02, DOS-03, DOS-04, DOS-05, DOS-06, DOS-07, DOS-08, DOS-09, DOS-10, DOS-11, DOS-12, DOS-13, DOS-14, DOS-15, DOS-16, DOS-17, DOS-18, DOS-19, DOS-20, DOS-21, DOS-22, HPC-01, HPC-02, HPC-03, HPC-04, HPC-05, HPC-06, HPC-07, HPC-08, HPC-09, HPC-10, HPC-11, HPC-12, HPC-13, HPC-14, HPC-15, HPC-16, HPC-17, HPC-18, HPC-19, HPC-20, HPC-21, HPC-22, HPC-23, IPA-01, IPA-02, IPA-03, IPA-04, IPA-05, IPA-06, IPA-07, IPA-08, IPA-09, IPA-10, IPA-11, IPA-12, IPA-13, IPA-14, IPA-15, IPA-16, IPA-17, IT-01, IT-02, PSIOT-01, SVP-01, SVP-02, SVP-03, SVP-04, SVP-05, SVP-06, SVP-07, SVP-08, SVP-09, SVP-10, SVP-11, SVP-12, SVP-13, SVP-14
~ AI-01 Monday 12-1: AI @ C25-A007 -> AI @ C25-A-007
~ AI-01 Tuesday 1-2: AI @ C25-A006 -> AI @ C25-A-006
~ AI-01 Wednesday 12-1: AI @ C25-A006 -> AI @ C25-A-006
~ BD-01 Monday 1-2: BD @ C25-A006 -> BD @ C25-A-006
~ BD-01 Tuesday 12-1: BD @ C25-A006 -> BD @ C25-A-006
~ BD-01 Wednesday 1-2: BD @ C25-A006 -> BD @ C25-A-006
~ BDS-01 Monday 1-2: BDS @ C25-A007 -> BDS @ C25-A-007
~ BDS-01 Tuesday 12-1: BDS @ C25-A008 -> BDS @ C25-A-008
~ BDS-01 Wednesday 1-2: BDS @ C25-A007 -> BDS @ C25-A-007
~ BDS-02 Friday 1-2: BDS @ C25-A006 -> BDS @ C25-A-006
~ BDS-02 Monday 11-12: BDS @ C25-A008 -> BDS @ C25-A-008
~ BDS-02 Thursday 12-1: BDS @ C25-A007 -> BDS @ C25-A-007
~ CD-01 Monday 1-2: CD @ C25-A008 -> CD @ C25-A-008
~ CD-01 Tuesday 12-1: CD @ C25-A009 -> CD @ C25-A-009
~ CD-01 Wednesday 1-2: CD @ C25-A008 -> CD @ C25-A-008
~ CD-02 Monday 1-2: CD @ C25-A009 -> CD @ C25-A-009
~ CD-02 Tuesday 12-1: CD @ C25-A010 -> CD @ C25-A-010
~ CD-02 Wednesday 1-2: CD @ C25-A009 -> CD @ C25-A-009
~ CD-03 Monday 1-2: CD @ C25-A010 -> CD @ C25-A-010
~ CD-03 Tuesday 12-1: CD @ C25-A011 -> CD @ C25-A-011
...and 1464 more slot changes
