Roll Number,Section
2329009,CSCE-01
2329015,CSCE-01
2329016,CSCE-01
2329017,CSCE-01
2329026,CSCE-01
2329027,CSCE-01
2329032,CSCE-01
2329033,CSCE-01
2329036,CSCE-01
2329042,CSCE-01
2329046,CSCE-01
2329055,CSCE-01
2329056,CSCE-01
2329057,CSCE-01
2329066,CSCE-01
2329067,CSCE-01
2329071,CSCE-01
2329072,CSCE-01
2329078,CSCE-01
2329081,CSCE-01
2329083,CSCE-01
2329086,CSCE-01
2329087,CSCE-01
2329088,CSCE-01
2329089,CSCE-01
2329093,CSCE-01
2329095,CSCE-01
2329098,CSCE-01
2329101,CSCE-01
2329108,CSCE-01
2329120,CSCE-01
2329121,CSCE-01
2329128,CSCE-01
2329129,CSCE-01
2329131,CSCE-01
2329134,CSCE-01
2329135,CSCE-01
2329136,CSCE-01
2329147,CSCE-01
2329149,CSCE-01
2329150,CSCE-01
2329152,CSCE-01
2329157,CSCE-01
2329159,CSCE-01
2329160,CSCE-01
2329161,CSCE-01
2329162,CSCE-01
2329166,CSCE-01
2329172,CSCE-01
2329173,CSCE-01
2329174,CSCE-01
2329179,CSCE-01
2329191,CSCE-01
2329193,CSCE-01
2329196,CSCE-01
2329201,CSCE-01
2329202,CSCE-01
2329204,CSCE-01
2329205,CSCE-01
2329215,CSCE-01
2329217,CSCE-01
2329221,CSCE-01
2329225,CSCE-01
2329230,CSCE-01
2329231,CSCE-01
2329233,CSCE-01
2329235,CSCE-01
2329010,CSCE-02
2329013,CSCE-02
2329014,CSCE-02
2329019,CSCE-02
2329020,CSCE-02
2329022,CSCE-02
2329023,CSCE-02
2329025,CSCE-02
2329031,CSCE-02
2329035,CSCE-02
2329037,CSCE-02
2329038,CSCE-02
2329039,CSCE-02
2329054,CSCE-02
2329058,CSCE-02
2329059,CSCE-02
2329061,CSCE-02
2329064,CSCE-02
2329065,CSCE-02
2329068,CSCE-02
2329069,CSCE-02
2329074,CSCE-02
2329077,CSCE-02
2329079,CSCE-02
2329080,CSCE-02
2329090,CSCE-02
2329091,CSCE-02
2329092,CSCE-02
2329094,CSCE-02
2329096,CSCE-02
2329097,CSCE-02
2329104,CSCE-02
2329106,CSCE-02
2329107,CSCE-02
2329112,CSCE-02
2329118,CSCE-02
2329126,CSCE-02
2329130,CSCE-02
2329140,CSCE-02
2329143,CSCE-02
2329146,CSCE-02
2329154,CSCE-02
2329155,CSCE-02
2329158,CSCE-02
2329163,CSCE-02
2329164,CSCE-02
2329165,CSCE-02
2329181,CSCE-02
2329184,CSCE-02
2329186,CSCE-02
2329190,CSCE-02
2329192,CSCE-02
2329197,CSCE-02
2329198,CSCE-02
2329206,CSCE-02
2329207,CSCE-02
2329210,CSCE-02
2329211,CSCE-02
2329214,CSCE-02
2329218,CSCE-02
2329220,CSCE-02
2329223,CSCE-02
2329226,CSCE-02
2329227,CSCE-02
2329229,CSCE-02
2329232,CSCE-02
2329234,CSCE-02
2329237,CSCE-02
2429301,CSCE-02
2329001,CSCE-03
2329002,CSCE-03
2329003,CSCE-03
2329004,CSCE-03
2329006,CSCE-03
2329007,CSCE-03
2329008,CSCE-03
2329011,CSCE-03
2329012,CSCE-03
2329024,CSCE-03
2329028,CSCE-03
2329029,CSCE-03
2329030,CSCE-03
2329034,CSCE-03
2329041,CSCE-03
2329043,CSCE-03
2329044,CSCE-03
2329049,CSCE-03
2329050,CSCE-03
2329051,CSCE-03
2329053,CSCE-03
2329060,CSCE-03
2329062,CSCE-03
2329063,CSCE-03
2329073,CSCE-03
2329076,CSCE-03
2329082,CSCE-03
2329100,CSCE-03
2329102,CSCE-03
2329109,CSCE-03
2329111,CSCE-03
2329114,CSCE-03
2329116,CSCE-03
