Roll Number,Section,,,,,,
2306001,AI_IT-01,,,,,,
2306002,AI_IT-01,,,,,,
2306006,AI_IT-01,,,,,,
2306007,AI_IT-01,,,,,,
2306013,AI_IT-01,,,,,,
2306029,AI_IT-01,,,,,,
2306033,AI_IT-01,,,,,,
2306038,AI_IT-01,,,,,,
2306040,AI_IT-01,,,,,,
2306044,AI_IT-01,,,,,,
2306045,AI_IT-01,,,,,,
2306047,AI_IT-01,,,,,,
2306048,AI_IT-01,,,,,,
2306049,AI_IT-01,,,,,,
2306050,AI_IT-01,,,,,,
2306059,AI_IT-01,,,,,,
2306060,AI_IT-01,,,,,,
2306063,AI_IT-01,,,,,,
2306069,AI_IT-01,,,,,,
2306072,AI_IT-01,,,,,,
2306079,AI_IT-01,,,,,,
2306080,AI_IT-01,,,,,,
2306081,AI_IT-01,,,,,,
2306086,AI_IT-01,,,,,,
2306101,AI_IT-01,,,,,,
2306102,AI_IT-01,,,,,,
2306103,AI_IT-01,,,,,,
2306107,AI_IT-01,,,,,,
2306109,AI_IT-01,,,,,,
2306118,AI_IT-01,,,,,,
2306119,AI_IT-01,,,,,,
2306122,AI_IT-01,,,,,,
2306140,AI_IT-01,,,,,,
2306144,AI_IT-01,,,,,,
2306146,AI_IT-01,,,,,,
2306148,AI_IT-01,,,,,,
2306151,AI_IT-01,,,,,,
2306154,AI_IT-01,,,,,,
2306164,AI_IT-01,,,,,,
2306174,AI_IT-01,,,,,,
2306175,AI_IT-01,,,,,,
2306176,AI_IT-01,,,,,,
2306181,AI_IT-01,,,,,,
2306185,AI_IT-01,,,,,,
2306222,AI_IT-01,,,,,,
2306224,AI_IT-01,,,,,,
2306225,AI_IT-01,,,,,,
2306233,AI_IT-01,,,,,,
2306234,AI_IT-01,,,,,,
2306237,AI_IT-01,,,,,,
2306241,AI_IT-01,,,,,,
2306247,AI_IT-01,,,,,,
2306250,AI_IT-01,,,,,,
2306258,AI_IT-01,,,,,,
2306260,AI_IT-01,,,,,,
2306261,AI_IT-01,,,,,,
2306271,AI_IT-01,,,,,,
2306290,AI_IT-01,,,,,,
2306293,AI_IT-01,,,,,,
2306295,AI_IT-01,,,,,,
2306318,AI_IT-01,,,,,,
2306320,AI_IT-01,,,,,,
2306325,AI_IT-01,,,,,,
2306327,AI_IT-01,,,,,,
2306342,AI_IT-01,,,,,,
2306351,AI_IT-01,,,,,,
2306360,AI_IT-01,,,,,,
2306361,AI_IT-01,,,,,,
2306364,AI_IT-01,,,,,,
2306369,AI_IT-01,,,,,,
2306374,AI_IT-01,,,,,,
2306390,AI_IT-01,,,,,,
