DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(1),CSE-1,---,X,C25-A-118,OS,DBMS,C25-A-118,DM,C25-A-118,OOPJ,X,---,X,C25-A-103(L),VT(L),C25-A-103(L),VT(L),X
TUE(0),CSE-1,C25-A-214,DM,C25-A-214,COA,ED|IOC|OB,C25-A-214,OOPJ,C25-A-304(L),DBMS(L),DBMS(L),---,X,---,X,---,X,X
WED(0),CSE-1,C25-A-301,DBMS,C25-A-304(L),OS(L),OS(L),C25-A-218,COA,C25-A-218,ED|IOC|OB,X,---,X,---,X,---,X,X
THU(1),CSE-1,---,X,C25-A-314,X,ED|IOC|OB,C25-A-314,DM,C25-A-314,OOPJ,X,---,X,C25-A-207,OS,C25-A-207,COA,X
FRI(1),CSE-1,---,X,C25-A-214,X,COA,C25-A-214,DM,C25-A-214,DBMS,X,---,X,C25-A-007,OS,C25-A-102(L),OOPJ(L),OOPJ(L)
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(1),CSE-2,---,X,C25-A-214,X,COA,C25-A-214,OS,C25-A-212(L),OOPJ(L),OOPJ(L),---,X,---,X,C25-A-206,DBMS,ED|IOC|OB
TUE(1),CSE-2,---,X,C25-B-318(L),VT(L),VT(L),C25-B-109,DM,C25-B-109,OS,X,---,X,C25-A-201,COA,C25-A-201,OOPJ,X
WED(0),CSE-2,C25-A-306,OOPJ,C25-A-312(L),DBMS(L),DBMS(L),C25-B-319,DM,C25-B-319,ED|IOC|OB,X,---,X,---,X,---,X,X
THU(0),CSE-2,---,X,---,X,X,C25-B-301,DM,C25-B-301,COA,X,---,X,C25-A-113,DBMS,C25-A-003(L),OS(L),OS(L)
FRI(1),CSE-2,---,X,C25-A-215,X,ED|IOC|OB,C25-A-215,OOPJ,C25-A-215,DBMS,OS,---,X,---,X,C25-A-007,DM,COA
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(0),CSE-3,C25-A-215,OOPJ,C25-A-215,OS,DM,C25-B-319,ED|IOC|OB,C25-B-319,COA,DBMS,---,X,---,X,---,X,X
TUE(1),CSE-3,---,X,---,X,X,C25-A-215,DM,C25-A-215,COA,OS,---,X,---,X,C25-A-102(L),OOPJ(L),OOPJ(L)
WED(1),CSE-3,---,X,C25-B-003(L),VT(L),VT(L),C25-A-114,COA,C25-A-114,OS,X,---,X,C25-A-006,DM,C25-A-006,ED|IOC|OB,X
THU(1),CSE-3,---,X,C25-A-315,X,OOPJ,C25-A-315,ED|IOC|OB,C25-A-315,DBMS,COA,---,X,---,X,C25-A-102(L),DBMS(L),DBMS(L)
FRI(0),CSE-3,C25-A-201,DBMS,C25-B-004(L),OS(L),OS(L),C25-B-219,OOPJ,C25-B-219,DM,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(1),CSE-4,---,X,C25-A-216,X,COA,C25-A-216,DBMS,C25-A-302(L),OS(L),OS(L),---,X,---,X,C25-A-207,DM,OS
TUE(0),CSE-4,C25-A-215,COA,C25-A-215,OS,DM,C25-A-216,DBMS,C25-A-216,OOPJ,ED|IOC|OB,---,X,---,X,---,X,X
WED(0),CSE-4,---,X,---,X,X,C25-B-309,OS,C25-B-309,DM,X,---,X,---,X,C25-A-304(L),OOPJ(L),OOPJ(L)
THU(0),CSE-4,C25-A-110,COA,C25-A-304(L),VT(L),VT(L),C25-A-216,OOPJ,C25-A-216,ED|IOC|OB,DM,---,X,---,X,---,X,X
FRI(1),CSE-4,---,X,C25-A-216,X,COA,C25-A-216,OOPJ,C25-A-312(L),DBMS(L),DBMS(L),---,X,---,X,C25-A-008,ED|IOC|OB,DBMS
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(0),CSE-5,C25-A-218,ED|IOC|OB,C25-A-218,DBMS,OS,C25-A-218,COA,C25-A-303(L),DBMS(L),DBMS(L),---,X,---,X,---,X,X
TUE(1),CSE-5,---,X,---,X,X,C25-A-318,OOPJ,C25-A-318,DM,X,---,X,C25-A-211,COA,C25-A-103(L),OS(L),OS(L)
WED(1),CSE-5,---,X,C25-A-314,X,DM,C25-A-314,ED|IOC|OB,C25-A-314,COA,X,---,X,C25-A-007,OOPJ,C25-A-007,DBMS,X
THU(0),CSE-5,C25-A-316,DM,C25-A-316,OOPJ,DBMS,C25-A-316,OS,C25-A-312(L),OOPJ(L),OOPJ(L),---,X,---,X,---,X,X
FRI(0),CSE-5,C25-A-210,ED|IOC|OB,C25-B-118(L),VT(L),VT(L),C25-B-307,DM,C25-B-307,OS,COA,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(0),CSE-6,---,X,---,X,X,C25-A-016,COA,C25-A-016,ED|IOC|OB,X,---,X,C25-A-207,DBMS,C25-A-302(L),OS(L),OS(L)
TUE(0),CSE-6,---,X,C25-A-216,OS,ED|IOC|OB,C25-A-314,OOPJ,C25-A-314,DBMS,DM,---,X,---,X,---,X,X
WED(1),CSE-6,---,X,C25-A-315,X,DM,C25-A-315,OS,C25-A-315,COA,X,---,X,C25-A-011,DBMS,C25-B-004(L),OOPJ(L),OOPJ(L)
THU(1),CSE-6,---,X,C25-A-318,X,DM,C25-A-016,COA,C25-A-102(L),VT(L),VT(L),---,X,---,X,C25-A-208,OS,OOPJ
FRI(0),CSE-6,C25-A-213,OOPJ,C25-B-203(L),DBMS(L),DBMS(L),C25-B-306,DM,C25-B-306,ED|IOC|OB,COA,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(1),CSE-7,---,X,C25-A-314,COA,ED|IOC|OB,C25-A-314,DM,C25-A-314,DBMS,X,---,X,C25-B-318(L),VT(L),C25-B-318(L),VT(L),X
TUE(0),CSE-7,C25-A-201,OS,C25-B-102(L),OS(L),OS(L),C25-B-110,COA,C25-B-110,ED|IOC|OB,OOPJ,---,X,---,X,---,X,X
WED(0),CSE-7,---,X,C25-A-316,DM,COA,C25-A-316,OOPJ,C25-B-004(L),DBMS(L),DBMS(L),---,X,---,X,---,X,X
THU(1),CSE-7,---,X,C25-B-006,X,COA,C25-B-306,DBMS,C25-B-306,DM,X,---,X,C25-A-201,OS,C25-A-103(L),OOPJ(L),OOPJ(L)
FRI(1),CSE-7,---,X,C25-A-218,X,DM,C25-A-218,DBMS,C25-A-218,ED|IOC|OB,X,---,X,C25-A-009,OS,C25-A-009,OOPJ,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(1),CSE-8,---,X,C25-A-315,OOPJ,DM,C25-A-315,COA,C25-A-315,DBMS,X,---,X,C25-A-208,ED|IOC|OB,C25-A-208,OS,X
TUE(1),CSE-8,---,X,C25-A-103(L),VT(L),VT(L),C25-B-119,DM,C25-B-119,DBMS,X,---,X,C25-A-206,COA,C25-A-206,OS,X
WED(0),CSE-8,---,X,C25-B-004(L),OS(L),OS(L),C25-A-015,COA,C25-A-015,ED|IOC|OB,DM,---,X,---,X,---,X,X
THU(0),CSE-8,C25-B-007,OOPJ,C25-B-007,DBMS,DM,C25-B-007,COA,C25-B-004(L),DBMS(L),DBMS(L),---,X,---,X,---,X,X
FRI(1),CSE-8,---,X,---,X,X,C25-B-309,ED|IOC|OB,C25-B-309,OOPJ,X,---,X,C25-A-008,OS,C25-A-103(L),OOPJ(L),OOPJ(L)
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(0),CSE-9,---,X,C25-A-316,ED|IOC|OB,COA,C25-A-316,OS,C25-A-316,DM,X,---,X,---,X,---,X,X
TUE(1),CSE-9,---,X,C25-A-218,X,COA,C25-A-218,DM,C25-A-218,DBMS,X,---,X,C25-A-213,OOPJ,C25-A-104(L),OOPJ(L),OOPJ(L)
WED(1),CSE-9,---,X,C25-A-103(L),VT(L),VT(L),C25-B-008,ED|IOC|OB,C25-B-008,COA,X,---,X,C25-A-008,OS,C25-A-008,DBMS,X
THU(1),CSE-9,---,X,C25-B-008,X,ED|IOC|OB,C25-B-219,DBMS,C25-B-102(L),OS(L),OS(L),---,X,---,X,C25-A-209,OOPJ,DM
FRI(0),CSE-9,C25-A-314,DM,C25-A-314,OS,OOPJ,C25-A-314,COA,C25-B-003(L),DBMS(L),DBMS(L),---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(1),CSE-10,---,X,---,X,X,C25-A-306,OS,C25-A-304(L),OOPJ(L),OOPJ(L),---,X,---,X,C25-A-209,COA,DM
TUE(0),CSE-10,C25-A-314,ED|IOC|OB,C25-A-314,COA,OOPJ,C25-B-201,DM,C25-B-201,OS,X,---,X,---,X,---,X,X
WED(0),CSE-10,C25-A-318,COA,C25-A-318,DM,DBMS,C25-A-318,OOPJ,C25-B-102(L),DBMS(L),DBMS(L),---,X,---,X,---,X,X
THU(0),CSE-10,C25-A-007,DM,C25-A-102(L),VT(L),VT(L),C25-A-118,DBMS,C25-A-118,OS,ED|IOC|OB,---,X,---,X,---,X,X
FRI(1),CSE-10,---,X,C25-B-104(L),OS(L),OS(L),C25-B-319,DBMS,C25-B-319,ED|IOC|OB,X,---,X,C25-A-010,COA,C25-A-010,OOPJ,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(0),CSE-11,C25-B-106,DBMS,C25-B-204(L),OS(L),OS(L),C25-B-316,DM,C25-B-316,OS,COA,---,X,---,X,---,X,X
TUE(1),CSE-11,---,X,---,X,X,---,X,C25-B-206,DM,OOPJ,---,X,---,X,C25-A-112(L),DBMS(L),DBMS(L)
WED(1),CSE-11,---,X,C25-B-006,X,OOPJ,C25-B-006,ED|IOC|OB,C25-B-006,COA,X,---,X,C25-A-109,OS,C25-B-202(L),OOPJ(L),OOPJ(L)
THU(0),CSE-11,C25-B-009,COA,C25-B-009,ED|IOC|OB,DBMS,C25-A-215,OS,C25-A-215,OOPJ,DM,---,X,---,X,---,X,X
FRI(0),CSE-11,C25-A-209,ED|IOC|OB,C25-B-018(L),VT(L),VT(L),C25-A-115,COA,C25-A-115,DM,DBMS,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(0),CSE-12,C25-B-108,DM,C25-B-302(L),OOPJ(L),OOPJ(L),C25-B-215,OOPJ,C25-B-215,OS,ED|IOC|OB,---,X,---,X,---,X,X
TUE(0),CSE-12,C25-A-315,COA,C25-A-315,DM,ED|IOC|OB,C25-A-315,DBMS,C25-A-312(L),OS(L),OS(L),---,X,---,X,---,X,X
WED(1),CSE-12,---,X,C25-B-007,OOPJ,COA,C25-B-007,ED|IOC|OB,C25-B-007,DM,X,---,X,C25-A-009,OS,C25-A-009,DBMS,X
THU(1),CSE-12,---,X,C25-B-010,X,OOPJ,C25-B-103(L),OS,C25-B-103(L),VT(L),VT(L),---,X,---,X,C25-A-210,COA,DM
FRI(0),CSE-12,---,X,---,X,X,---,X,C25-A-206,COA,DBMS,---,X,---,X,C25-A-212(L),DBMS(L),DBMS(L)
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
