DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-1,C25-A-306,CN,C25-A-003(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-1,---,X,---,X,X,C25-B-117,DAA,C25-B-117,SE,EE,---,X,C25-A-003(L),CN(L),C25-A-003(L),CN(L),X
WED,CSE-1,C25-A-007,DAA,C25-A-007,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-1,C25-A-008,DAA,C25-A-008,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-1,C25-A-007,EE,C25-A-007,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-2,C25-A-007,DAA,C25-A-007,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-2,---,X,C25-B-119,DAA,CN,C25-B-119,EE,C25-B-119,SE,X,---,X,C25-B-302(L),DAA(L),C25-B-302(L),DAA(L),X
WED,CSE-2,---,X,C25-A-008,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-2,C25-A-113,DAA,C25-A-004(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-2,C25-A-008,EE,C25-A-008,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-3,C25-A-008,EE,C25-A-008,CN,DAA,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-3,---,X,C25-B-304(L),DAA(L),DAA(L),C25-B-116,EE,C25-B-116,SE,CN,---,X,---,X,---,X,X
WED,CSE-3,C25-A-009,CN,C25-A-009,DAA,SE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-3,C25-A-009,DAA,C25-A-009,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-3,C25-A-016,SE,C25-A-003(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-4,C25-B-119,DAA,C25-B-314(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-4,---,X,C25-B-206,X,EE,C25-B-206,CN,C25-B-206,SE,X,---,X,C25-A-103(L),DAA(L),C25-A-103(L),DAA(L),X
WED,CSE-4,C25-A-010,DAA,C25-A-010,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-4,C25-A-010,EE,C25-A-010,DAA,SE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-4,C25-A-009,CN,C25-A-009,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-5,C25-A-009,SE,C25-A-009,EE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-5,---,X,C25-A-004(L),CN(L),CN(L),C25-A-108,DAA,C25-A-108,CN,X,---,X,C25-A-007,EE,C25-A-007,SE,X
WED,CSE-5,C25-A-011,DAA,C25-A-011,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-5,C25-A-011,EE,C25-A-011,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-5,---,X,C25-B-314(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
