DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-1,C25-A-206,ML,C25-A-102(L),AI(L),AI(L),C25-A-007,CC|SPM|NLP|CV,C25-A-007,AI,X,---,X,---,X,---,X,X
TUE,CSE-1,---,X,C25-A-201,HSE,ML,C25-A-201,UHV,C25-A-201,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
WED,CSE-1,---,X,---,X,HSE,C25-A-103(L),AD,C25-A-103(L),AD(L),AD(L),---,X,---,X,---,X,X
THU,CSE-1,---,X,C25-A-206,CC|SPM|NLP|CV,ML,C25-B-317,UHV,C25-B-317,AI,X,---,X,---,X,---,X,X
FRI,CSE-1,---,X,C25-A-201,HSE,ML,C25-A-008,UHV,C25-A-008,AI,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-2,C25-A-201,UHV,C25-A-201,ML,AI,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-2,C25-A-007,ML,C25-A-102(L),AI(L),AI(L),C25-A-010,UHV,C25-A-010,AI,X,---,X,---,X,---,X,X
WED,CSE-2,---,X,C25-A-207,X,CC|SPM|NLP|CV,C25-B-301,ML,C25-B-301,HSE,X,---,X,---,X,---,X,X
THU,CSE-2,---,HSE,C25-A-207,ML,CC|SPM|NLP|CV,C25-A-003(L),AD,C25-A-003(L),AD(L),AD(L),---,X,---,X,---,X,X
FRI,CSE-2,---,X,---,X,HSE,C25-A-009,CC|SPM|NLP|CV,C25-A-009,AI,UHV,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-3,---,X,C25-A-206,AI,ML,---,HSE,---,X,X,---,X,---,X,---,X,X
TUE,CSE-3,---,HSE,C25-A-206,ML,AI,C25-A-206,UHV,---,X,X,---,X,---,X,---,X,X
